iter	RMSE
374	127.261798
375	127.081826
376	126.9548949
377	126.6094075
378	126.3835929
379	126.3200113
380	126.2597926
381	126.0459586
382	125.9252631
383	125.7933311
384	125.6909733
385	125.5459811
386	125.2796802
387	125.1786278
388	124.8094144
389	124.6326115
390	124.5068392
391	124.3499702
392	124.2209807
393	124.0515357
394	123.9402733
395	123.7504011
396	123.5724135
397	123.4087166
398	123.2504974
399	122.9737545
400	122.8216059
401	122.6736861
402	122.5306523
403	122.3219874
404	122.1454538
405	122.0094205
406	121.9552057
407	121.8236607
408	121.6257293
409	121.3780405
410	121.3008056
411	121.1750099
412	120.8752016
413	120.7597353
414	120.6292618
415	120.5124568
416	120.3995239
417	120.2556127
418	120.1887855
419	119.89289
420	119.7166842
421	119.577187
422	119.4728434
423	119.2928565
424	119.1240454
425	118.8872736
426	118.6911777
427	118.5944401
428	118.4317792
429	118.2881987
430	118.2016842
431	118.1370078
432	118.0723527
433	117.9029443
434	117.7571363
435	117.6479153
436	117.3752484
437	117.2441262
438	117.1274866
439	117.0295337
440	116.9311127
441	116.879841
442	116.7352167
443	116.642814
444	116.3878907
445	116.2963417
446	116.1658912
447	115.9621215
448	115.6799116
449	115.6314811
450	115.5750846
451	115.4516321
452	115.3494926
453	115.2995869
454	115.1783425
455	115.0637015
456	114.9149523
457	114.6053107
458	114.4840432
459	114.3664849
460	114.2247843
461	114.0965369
462	114.014421
463	113.9351164
464	113.8324889
465	113.7373086
466	113.4931804
467	113.4465569
468	113.4053663
469	113.2810329
470	113.1485384
471	113.0743097
472	112.9868034
473	112.9382997
474	112.6739992
475	112.4754474
476	112.3535567
477	112.0283239
478	111.810149
479	111.6794703
480	111.365368
481	111.3278192
482	111.198878
483	111.163048
484	110.9247834
485	110.8843039
486	110.7279097
487	110.5699229
488	110.36638
489	110.3335998
490	110.2571936
491	110.1399956
492	110.0106494
493	109.8184185
494	109.7415457
495	109.7096973
496	109.4933052
497	109.3771578
498	109.2371383
499	109.2064142
500	109.1767085
501	109.0326973
502	108.9941255
503	108.8183075
504	108.6384794
505	108.5304298
506	108.2512799
507	108.1665834
508	108.0542834
509	107.9206349
510	107.8698546
511	107.7465594
512	107.632593
513	107.5446538
514	107.4779162
515	107.4054614
516	107.336073
517	107.275148
518	107.1698208
519	106.9797921
520	106.7931179
521	106.6228722
522	106.4709256
523	106.3233907
524	106.2604751
525	106.1906717
526	106.0691627
527	105.9701353
528	105.8618318
529	105.7962446
530	105.6582849
531	105.5621182
532	105.4251797
533	105.3469221
534	105.2381764
535	105.0924302
536	104.9620614
537	104.8652087
538	104.6961242
539	104.6340712
540	104.5085747
541	104.353913
542	104.2171256
543	104.0581115
544	104.0018285
545	103.8719804
546	103.7551812
547	103.6519325
548	103.5892842
549	103.4687394
550	103.3208178
551	103.2845444
552	103.1639202
553	103.0403622
554	102.9739367
555	102.8196786
556	102.7557907
557	102.6762107
558	102.540267
559	102.5054767
560	102.4034468
561	102.2070882
562	102.0470246
563	102.0065228
564	101.9343753
565	101.794188
566	101.7005622
567	101.6084249
568	101.4616514
569	101.3437761
570	101.2580801
571	101.1723831
572	101.0612801
573	100.8791962
574	100.73337
575	100.6384139
576	100.5763974
577	100.4907535
578	100.3166117
579	100.1003231
580	99.91075458
581	99.82965791
582	99.72942194
583	99.6717551
584	99.55875455
585	99.47701535
586	99.41199344
587	99.28805161
588	99.20630912
589	98.94826602
590	98.91173986
591	98.81809426
592	98.70513055
593	98.61500331
594	98.53363814
595	98.41527647
596	98.30995239
597	98.27078903
598	98.19760768
599	98.11686028
600	98.0572963
601	98.00773955
602	97.8598445
603	97.78213848
604	97.71617685
605	97.58564466
606	97.53032921
607	97.45933227
608	97.39228054
609	97.29134975
610	97.19273508
611	97.15641492
612	97.04973143
613	96.93742819
614	96.83044136
615	96.77832817
616	96.64490435
617	96.51410234
618	96.40285391
619	96.34388748
620	96.29877148
621	96.20706747
622	96.08483716
623	95.86397493
624	95.77959078
625	95.72332166
626	95.55042093
627	95.42709597
628	95.37697444
629	95.24163408
630	95.14499185
631	95.02547944
632	94.90303075
633	94.82697656
634	94.76556412
635	94.67907168
636	94.59218399
637	94.50480298
638	94.48177909
639	94.3437748
640	94.27177283
641	94.20419
642	94.11808982
643	94.04945359
644	93.9929927
645	93.83801072
646	93.70356664
647	93.60850427
648	93.51301051
649	93.40639974
650	93.30829591
651	93.18559947
652	93.16426223
653	93.08335072
654	93.01626772
655	92.94030871
656	92.87520111
657	92.73871393
658	92.67737853
659	92.58028906
660	92.49478537
661	92.44820182
662	92.33873399
663	92.31004039
664	92.21473739
665	92.15552491
666	92.03989609
667	91.91802132
668	91.89004024
669	91.83474048
670	91.76635759
671	91.67746816
672	91.55898037
673	91.45122579
674	91.37590306
675	91.27325405
676	91.17551208
677	91.03915031
678	90.92518857
679	90.88002976
680	90.82858564
681	90.7092678
682	90.66371143
683	90.57605412
684	90.51579036
685	90.43807598
686	90.31204134
687	90.28013282
688	90.18768521
689	90.13048239
690	90.05072666
691	89.93539017
692	89.79636221
693	89.68902718
694	89.65724433
695	89.62004245
696	89.5231811
697	89.45475994
698	89.3737284
699	89.20856977
700	89.10811287
701	89.08417291
702	89.0259963
703	88.95219845
704	88.86709694
705	88.75082093
706	88.63521095
707	88.60543019
708	88.48841502
709	88.41570989
710	88.34084979
711	88.24271023
712	88.17370329
713	88.09934739
714	88.06905253
715	87.99627088
716	87.93028036
717	87.88897956
718	87.78810941
719	87.6618338
720	87.58692872
721	87.52427269
722	87.49180137
723	87.39877611
724	87.37294359
725	87.31866753
726	87.26897935
727	87.19700227
728	87.13891962
729	87.02779452
730	86.91770316
731	86.84695733
732	86.79743434
733	86.65497494
734	86.60842701
735	86.53092457
736	86.46678078
737	86.43880022
738	86.37695991
739	86.35622134
740	86.27325975
741	86.19355954
742	86.06089125
743	86.00573687
744	85.95414433
745	85.90970432
746	85.84430102
747	85.82106665
748	85.72575069
749	85.68396919
750	85.61041745
751	85.58811081
752	85.49911235
753	85.47772355
754	85.39781993
755	85.33185389
756	85.26824384
757	85.17531804
758	85.06341888
759	85.01228128
760	84.92393599
761	84.89039049
762	84.82586364
763	84.78746882
764	84.72469114
765	84.66754359
766	84.58870358
767	84.49873175
768	84.4168206
769	84.31732228
770	84.24371639
771	84.18264017
772	84.11803784
773	84.0476768
774	83.94536237
775	83.92765682
776	83.86128359
777	83.81735034
778	83.73193407
779	83.66764282
780	83.59656719
781	83.53538434
782	83.482525
783	83.40365046
784	83.38728862
785	83.32953743
786	83.28326142
787	83.20931247
788	83.12138128
789	83.10579229
790	83.02999426
791	82.96049662
792	82.93461642
793	82.91982626
794	82.88449338
795	82.84217892
796	82.81828208
797	82.80371696
798	82.75354507
799	82.71348371
800	82.63482895
801	82.61462521
802	82.56860172
803	82.52985134
804	82.4321312
805	82.34201689
806	82.28325251
807	82.23564331
808	82.10936526
809	82.08644893
810	82.03099179
811	81.94779719
812	81.93125466
813	81.90716075
814	81.84139058
815	81.8303821
816	81.78796829
817	81.72794052
818	81.64479089
819	81.56368078
820	81.49442077
821	81.386487
822	81.33933486
823	81.3253902
824	81.25057331
825	81.18451118
826	81.12821127
827	81.06386946
828	81.0068085
829	80.97592581
830	80.89808041
831	80.8192248
832	80.73149363
833	80.64583272
834	80.58872933
835	80.57363058
836	80.50743312
837	80.46473597
838	80.45018584
839	80.41526041
840	80.38225985
841	80.3353361
842	80.28379581
843	80.23290238
844	80.16096834
845	80.11897672
846	80.1041534
847	80.04507176
848	79.91884118
849	79.85805522
850	79.78915493
851	79.73552078
852	79.68437685
853	79.59019884
854	79.51632175
855	79.427675
856	79.38192715
857	79.32305179
858	79.27761559
859	79.17943176
860	79.14359176
861	79.08543685
862	79.04003672
863	78.96554077
864	78.94332282
865	78.88577898
866	78.80471938
867	78.74182301
868	78.6754713
869	78.63180076
870	78.56049013
871	78.50763765
872	78.44881209
873	78.38122549
874	78.36704345
875	78.31188265
876	78.24121276
877	78.18771048
878	78.14768961
879	78.06558636
880	78.00337462
881	77.93096747
882	77.9094898
883	77.82484925
884	77.81113762
885	77.78143511
886	77.76857384
887	77.72079268
888	77.67522242
889	77.61639394
890	77.5708756
891	77.51229547
892	77.48435098
893	77.45058046
894	77.37704814
895	77.32391703
896	77.27390424
897	77.21241061
898	77.17230805
899	77.11089715
900	76.96605244
901	76.92265325
902	76.88209634
903	76.81416861
904	76.76214739
905	76.75321287
906	76.68197472
907	76.61266799
908	76.5659188
909	76.52272696
910	76.46120218
911	76.43547652
912	76.42676868
913	76.3890991
914	76.3652669
915	76.27589251
916	76.22127191
917	76.16509645
918	76.15660901
919	76.09514819
920	76.08285879
921	76.04399136
922	75.99986755
923	75.98747827
924	75.95119012
925	75.93364537
926	75.8764007
927	75.86346223
928	75.75551321
929	75.70354601
930	75.66181767
931	75.62744417
932	75.60069579
933	75.54733173
934	75.53935548
935	75.45502505
936	75.41244729
937	75.36134613
938	75.31500461
939	75.2790751
940	75.21402049
941	75.13985252
942	75.0656735
943	74.98707305
944	74.94064519
945	74.91733172
946	74.90023422
947	74.88722251
948	74.83106869
949	74.79617308
950	74.73881761
951	74.69738852
952	74.66596138
953	74.65309098
954	74.58819349
955	74.53536756
956	74.50971733
957	74.46696166
958	74.4543613
959	74.44594505
960	74.41101522
961	74.38907279
962	74.33697705
963	74.32988117
964	74.29723252
965	74.2261941
966	74.18692117
967	74.11692692
968	74.07769235
969	73.99656839
970	73.94524908
971	73.93267223
972	73.89230002
973	73.86151261
974	73.83062126
975	73.77218505
976	73.76071969
977	73.72286951
978	73.68794486
979	73.64090842
980	73.62858583
981	73.61664368
982	73.57223417
983	73.53157032
984	73.4468593
985	73.37663449
986	73.32365183
987	73.29813262
988	73.203362
989	73.18684541
990	73.16056355
991	73.09949588
992	73.04989702
993	73.03826206
994	72.98479914
995	72.94675589
996	72.8947453
997	72.83626869
998	72.8249497
999	72.7885875
